,拼音,解释,例子,用法,谜语,感情,英语,结构,字数,年代,热度,词语解释,出处,正音,辨形,辨析,繁体,组合,歇后语,成语故事
本来面目,běn lái miàn mù,本来：原来的；面目：面貌。原是佛教用语；指人的本性；后比喻人或事物原来的样子。,这一润色，留传固然留传了，但可惜的是一定失去了许多本来面目。（鲁迅《且介亭杂文 门外文谈》）,偏正式；作主语、宾语；用于人与事物。,化装之前,中性," original(real,unmasked) appearance(character)",偏正式,四字,古代,常用,本来面目,宋 苏轼《老人行》诗：“一任秋霜换鬓毛，本来面目常如故。”,“本”，不能读作“bèn”。,“本”，不能写作“木”。,,本來靣目,,,本来面目
你死我活,nǐ sǐ wǒ huó,不是你死就是我活。形容双方斗争尖锐；不能共存。,这些都是非原则问题，冷静商量一下就解决了，为什么非争个你死我活不可呢？,联合式；作定语、状语、补语；指双方不能共存。,,中性,life-and-death,联合式,四字,古代,常用,你死我活,元 李寿卿《度柳翠》第一折：“世俗人没来由，争长竞短，你死我活。”,“死”，不能读作“shǐ”。,,你死我活和“不共戴天”；都有“不能共存”的意思。但你死我活偏重指“矛盾尖锐；不可调合”；“不共戴天”偏重指“仇恨极深”。,妳死我活,,,
死心塌地,sǐ xīn tā dì,死心：不变心；塌地：指心里塌实。原指心里塌实；不再做别的打算。现形容主意已定；决不改变或心甘情愿。,那呆子纵身跳起，口里絮絮叨叨的，挑着担子，只得死心塌地，跟着前来。（明 吴承恩《西游记》第二十回）,联合式；作谓语、状语；含贬义。,忘,贬义,be dead set on,联合式,四字,古代,常用,死心塌地,元 乔孟符《鸳鸯被》第四折：“这洛阳城刘员外，他是个有钱贼，只要你还了时，方才死心塌地。”,“塌”，不能读作“tà”。,“塌”，不能写作“踏”。,死心塌地和“执迷不悟”；都有“死也不改变”的意思。但死心塌地偏重于“死心”；多指态度坚决；“执迷不悟”偏重指对自己的错误不醒悟。,,,不见棺材不下泪,死心塌地
有所作为,yǒu suǒ zuò wéi,可以做事情；并能取得较大的成绩。,小时候他学习就很刻苦，如今又轻松的考入了大学，人人都说他将来会有所作为。,动宾式；作谓语、定语；含褒义。,,褒义,,动宾式,四字,古代,常用,有所作为,先秦 孟轲《孟子 离娄下》：“人有不为也，而后可以有为。”,“作”，不能读作“zuō”。,“作”，不能写作“做”。,,有所作為,,,
天壤之别,tiān rǎng zhī bié,天和地；一在极上；另一在极下；比喻差别极大。壤：地。,按照一般人的生理机能来说，聪明与不聪明虽有差别，但并不存在天壤之别。,偏正式；作宾语；指事物差别极大。,送行飞船；朱门酒肉臭，路有冻死骨,中性,a world of difference,偏正式,四字,近代,常用,天壤之别,晋 葛洪《抱朴子 内篇 论仙》：“其为不同，已有天壤之觉，冰炭之乘矣。”,“壤”，不能读作“yǎng”。,“壤”，不能写作“嚷”。,天壤之别与“大相径庭”区别在于：天壤之别指差别之大；“大相径庭”除此以外；还有大不相同或矛盾很大之义。,天壤之別,,,
心惊肉跳,xīn jīng ròu tiào,担心灾祸临头；恐慌不安。形容心神不安；极其恐惧。跳：发抖。,在那个闷热的夜晚，发生了那种淑娴现在想起还心惊肉跳的事情，使她的精神受到极大的创伤。（冯德英《迎春花》第十五章）,联合式；作谓语、宾语、补语；形容人极度惊惧恐慌。,抽搐,中性,feel nervous and creepy,联合式,四字,古代,常用,心惊肉跳,元 无名氏《争报恩》：“不知怎么，这一会儿心惊肉战，这一双好小脚儿再走也走不动了。”,,“惊”，不能写作“京”。,心惊肉跳和“心有余悸”；都有“心里恐惧”的意思。但心惊肉跳泛指十分恐惧或预感灾祸临头的恐惧心情；“心有余悸”专指事后还感到恐惧。,心驚肉跳,,一锥子扎在身上,
面红耳赤,miàn hóng ěr chì,脸和耳朵都红了。形容因羞愧、窘迫、激动或发怒而脸色涨红的样子。,不住的面红耳赤，意往神弛，身上不知怎样才好。（清 吴趼人《二十年目睹之怪现状》第一回）,联合式；作谓语、状语、补语；形容羞愧的样子。,喝醉酒红脸,中性,be flushed,联合式,四字,古代,常用,面红耳赤,宋 朱熹《朱子语类》第29卷：“今人有些小利害，便至于头红耳赤；子文却三仕三已，略无喜愠。”,“赤”，不能读作“cì”。,,,靣紅耳赤,,灌血的猪头,面红耳赤
过意不去,guò yì bù qù,心里感到不安。,钱钟书《围城》：“他十分过意不去，一个个上前招呼。”,作谓语、宾语；指心里感到不安。,最远到罗马,中性,feel terribly apologetic（feel terribly sorry）,补充式,四字,古代,常用,过意不去,明·施耐庵《水浒传》第24回：“那妇人顿羹顿饭，欢天喜地伏侍武松，武松倒过意不去。”,,,,過意不去,,,
鬼鬼祟祟,guǐ guǐ suì suì,迷信的人指鬼怪；或指鬼怪害人。形容行为偷偷摸摸；不光明正大。,别叫我替你们害臊了，你们鬼鬼祟祟干的那些事，也瞒不过我去。（清 曹雪芹《红楼梦》第三十一回）,联合式；作谓语、定语、状语；含贬义。,,贬义,act secretively,联合式,四字,近代,常用,鬼鬼祟祟,清 曹雪芹《红楼梦》第31回：“别叫我替你们害臊了！你们鬼鬼祟祟干的那些事，也瞒不过我去。”,“祟”，不能读作“chóng”。,“祟”，不能写作“崇”。,“鬼头鬼脑”和鬼鬼祟祟；都可形容人的行为不正当；偷偷摸摸的样子。但“鬼头鬼脑”可形容长相；鬼鬼祟祟不能；鬼鬼祟祟可指不易察觉的行为；“鬼头鬼脑”不能。,,AABB式,,鬼鬼祟祟
出谋划策,chū móu huà cè,谋：计谋；划：筹划。制定计谋策略。指为人出主意。,其余的人，连老贺在内，也都出谋划策，各有贡献。孔厥《新儿女英雄续传》第九章,联合式；作谓语；指为人想办法，出主意。,,中性,offer advice,联合式,四字,古代,常用,出谋划策,明 冯梦龙《东周列国志》：“汝依违观望其间，并不见出奇画策，无非因人成事。”,“谋”，不能读作“mé”；“策”，不能读作“chè”。,“谋”，不能写作“煤”。,,出謀划筞,,,
起死回生,qǐ sǐ huí shēng,把快要死的人救活。形容医术高明。也指将没有多少希望的事情挽救回来。,对于时人那虚弱的感情，这真有起死回生的力量。（闻一多《宫体诗的自赎》）,联合式；作谓语、定语；含褒义。,打开棺材治好病,褒义,bring sb. back from death,联合式,四字,古代,常用,起死回生,《太平广记 太玄女》引《女仙传》语：“行三十六术甚效，起死回生，救人无数。”,“回”，不能读作“huī”。,“生”，不能写作“声”。,起死回生与“死去活来”有别：起死回生既适用于人；也适用于物；多用作定语；一般不作补语；“死去活来”只适用于人；不适用于物；多用作补语；一般不作定语。,起死迴生,,打开棺材治好病,起死回生
合情合理,hé qíng hé lǐ,符合情理。,学校认为这个方案合情合理，就定为制度。柯岩《特邀代表》,作谓语、状语、宾语；指符合情理。,,中性,fair and reasonable,联合式,四字,古代,常用,合情合理,陈残云《山谷风烟》第11章：“黄为民心情显得轻松，觉得周祺这个人很可爱，既有原则，又能合情合理地帮助他解除思想包袱。”,,,,,ABAC式,,
先发制人,xiān fā zhì rén,发：开始行动；制：制服。指争取主动；先动手来制服对方。现泛指先下手争取主动。,剑波没等这位警长开口，便理直气壮地来个先发制人。（曲波《林海雪原》三）,连动式；作谓语、宾语、定语、状语；指主动出击。,首创者,中性,dominate the enemy by striking first,连动式,四字,古代,常用,先发制人,东汉 班固《汉书 项籍传》：“先发制人，后发制于人。”,“发”，不能读作“fà”。,“制”，不能写作“质”。,先发制人和“先下手为强”；都有“抢先下手争取主动”的意思。但“先发制人”重在强调抢先一步制服对方；“先下手为强”重在强调抢先一步；占据优势。,先發制人,,,先发制人
晕头转向,yūn tóu zhuàn xiàng,晕：头脑发昏；转向：辨不清方向。形容头脑昏乱辨不清方向。,我的话总是让人难堪，晕头转向。,主谓式；作谓语、定语、状语、补语；用于人。,晖,中性,Not know whether one is (standing) on one's head or one's heels（not to know what to do next; confused and disoriented）,联合式,四字,当代,常用,晕头转向,周而复《上海的早晨》第三部：“巧珠奶奶听得晕头转向。完全出乎他的意料，儿子居然变了，而且变得这么快！”,“转”，不能读作“zhuǎn”。,“晕”，不能写作“昏”。,晕头转向和“懵头转向”；都有“头发昏；搞不清方向”的意思。但“懵头转向”偏重在“昏迷、昏乱”；晕头转向偏重在“昏晕”；语义轻。,暈頭轉向,,双拳击了太阳穴,
鸦雀无声,yā què wú shēng,连乌鸦和麻雀的叫声都没有。形容自然环境很静或形容人们默不作声；一声不响。鸦：乌鸦；雀：麻雀。,直等到大众去净之后，静悄悄的鸦雀无声。（清 李宝嘉《官场现形记》第三十三回）,主谓式；作谓语、定语、状语；形容非常静。,千山鸟飞绝,中性,all utterly quiet,主谓式,四字,古代,常用,鸦雀无声,宋 释道原《景德传灯录》第四卷：“公曰：‘鸦去无声，运何言闻？’”,“雀”，不能读作“qiǎo”。,“鸦”，不能写作“雅”。,鸦雀无声和“万籁俱寂”；都含有“十分寂静；没有一点声音”的意思。但鸦雀无声一般形容人群或人群聚集活动的场所；指“安静”；而“万籁俱寂”多指形容辽阔的自然环境；指“清静”。,鴉雀無聲,,,
卓有成效,zhuō yǒu chéng xiào,卓：卓越；突出。形容成绩效果显著突出。,我们要奋发地工作，卓有成效地完成上级交给我们的任务。,动宾式；作谓语、定语；含褒义。,,褒义,highly effective,动宾式,四字,古代,常用,卓有成效,明 王守仁《申行十家牌法》：“若巡访劝谕著有成效者，县官备礼亲造其庐，重加奖励。”,“卓”，不能读作“zhuó”。,,见“行之有效”。,卓有成俲,,,
翻天覆地,fān tiān fù dì,覆；翻过来。使天地换了位置。形容变化巨大；彻底。,真象翻天覆地的变动就快要临头了。（沙汀《兽道》）,联合式；作定语、宾语；含褒义，形容社会变化很大。,,褒义,overturn the sky and the earth; a tremendous change,联合式,四字,近代,常用,翻天覆地,清 曹雪芹《红楼梦》第105回：“那时，一屋子人，拉这个，扯那个，正闹得翻天覆地。”,“覆”，不能读作“fǔ”。,“覆”，不能写作“复”。,翻天覆地和“天翻地覆”都有形容变化巨大、改革彻底；但“天翻地覆”形容的程度更为严重；又可形容闹得很凶。,飜天覆地,,,
波涛汹涌,bō tāo xiōng yǒng,汹涌：水势腾涌的样子。形容波浪又大又急。,钱钟书《围城》：“仰天躺在床上，动也不动，一转侧身体里就有波涛汹涌的声音。”,作谓语、定语；形容波浪又大又急。,,中性,The waves run high.,主谓式,四字,古代,常用,波涛汹涌,宋 朱熹《朱子语类》第15卷：“盖因波涛汹涌，水遂为其所激而动也。”,,,,波濤洶湧,,,
游山玩水,yóu shān wán shuǐ,山、水：指风景。游览和观赏山水风景。,乘着大船，我们一路上游山玩水，好不开心。,联合式；作谓语、宾语；含贬义。,,贬义,vistit scenes at differene spots（enjoy the landscape）,联合式,四字,古代,常用,游山玩水,宋 释道原《景德传灯录 韶州云门山文偃禅师》：“问：‘如何是学人自己？’师曰：‘游山玩水去。’”,,,,遊山玩水,,,
不正之风,bù zhèng zhī fēng,不正当的社会风气。,邓小平《高级干部要带头发扬党的优良传统》：“自觉地遵守有关规定，坚决反对特殊化，纠正一切不正之风。”,作主语、宾语；指社会风气。,黄药师运气,贬义,unhealthy social trends（undesirable social practices）,偏正式,四字,古代,常用,不正之风,晋 葛洪《抱朴子 辩问》：“移不正之风，易流遁之俗。”,,,,不正之風,,,
热火朝天,rè huǒ cháo tiān,火热的烈火朝天熊熊；燃烧。形容群众性的活动情绪热烈；气氛高涨；就象炽热的火焰照天燃烧一样。,但这几天热火朝天的参军运动，也冲击着他们的身心。（冯德英《迎春花》第九章）,主谓式；作定语、状语、补语；含褒义。,太阳灶；打飞机,褒义,burning with ardor,主谓式,四字,当代,常用,热火朝天,魏巍《谁是最可爱的人 前进吧祖国》：“从祖国到朝鲜，我看见一面是热火朝天的建设，一面是在炮火连天中奋不顾身的战斗。”,“朝”，不能读作“zhāo”。,,热火朝天和“如火如荼”都可形容群众运动热烈。但热火朝天偏重于气氛；“如火如荼”偏重于气势。,熱火朝天,,,
大张旗鼓,dà zhāng qí gǔ,大规模地摇旗擂鼓（张：展开；铺排；旗鼓：古代作战时传达军令的用具）。原形容作成的规模和声势大；现泛指做事规模和声势很大。,李参戎带著这些人陆续出了镇南关，便大张旗鼓，排齐队伍，浩浩荡荡的向前进发。（清 张春帆《宦海》第九回）,动宾式；作谓语、定语、状语；用于集体活动。,喜庆,中性,in a big way,动宾式,四字,古代,常用,大张旗鼓,清 张春帆《宦海》：“李参戎带着这些人陆续出了镇南关，便大张旗鼓，排齐队伍，浩浩荡荡地向前进发。”,,,（一）大张旗鼓和“声势浩大”；都有“声势大”的意思；不同在于：①“声势浩大”侧重在声威和气势大；“大张旗鼓”偏重在排场大。②同样表示声势大；“声势浩大”形容声势很大；“大张旗鼓”指大造声势。③两者都可用于群众性活动；但“大张旗鼓”还可用于个人活动。大张旗鼓和“雷厉风行”；都可以用来形容声势猛烈。但“大张旗鼓”多用于大造声势；形容运动、活动等规模巨大；进行得非常热烈；“雷厉风行”多用于形容贯彻；执行政令、任务等作风严厉；行动迅速。,大張旗皷,,,
泣不成声,qì bù chéng shēng,泣：低声哭。哭得噎住了；连声音也发不出来。形容极度悲伤。,弥留之际，日饮白汤升许，欲以洗涤肺腑，及食不下咽，泣不成声。（清 黄钧宰《金壶七墨 鸳鸯印传奇始末》）,补充式；作谓语、定语、宾语；含贬义。,相顾无言，唯有泪两行,贬义,sob too bitterly to speak,补充式,四字,近代,常用,泣不成声,汉 赵晔《吴越春秋 越王无余外传》：“尧崩，禹服三年之丧，如丧考妣，昼夜哭泣，气不属声。”,“泣”，不能读作“lì”。,“成”，不能写作“城”。,,泣不成聲,,,
平易近人,píng yì jìn rén,平易：原指道路平坦宽广；后比喻态度平和；没有架子；使人容易接近。也形容文字深入浅出；通俗易懂。,凡昌黎（韩愈）与东野（孟郊）联句，必字字争胜，与他人联句，则平易近人。（清 赵翼《瓯北诗话》卷三）,联合式；作谓语、宾语；含褒义。,伴,褒义,be simple and easy to approach,偏正式,四字,古代,常用,平易近人,西汉 司马迁《史记 鲁周公世家》：“平易近民，民必归之。”,“人”，不能读作“yín”。,“近”，不能写作“进”。,平易近人和“和蔼可亲”、“和颜悦色”都可形容态度温和；不同在于：①“和蔼可亲”和平易近人都有使人容易接近或亲近的意思；并多用于长辈；不用于小辈；“和颜悦色”没有使人容易接近的意思；也不限于长辈。②同样形容温和时；“和颜悦色”偏重于脸部表情；“和蔼可亲”和平易近人偏重于态度作风或表示人的性格特点。,,,,平易近人
微乎其微,wēi hū qí wēi,形容非常小或非常少。微：小。,富庶的河套，是黄河所给的一点点它口里所吐出的，和被它所吞没的比较起来，真是微乎其微了。（臧克家《毛主席向着黄河笑》）,复杂式；作谓语、定语；用于人。,极小,中性,minute,复杂式,四字,近代,常用,微乎其微,清 杨伦《杜诗镜铨》眉批引蒋弱六云：“写妙技不觉说入自家语，微乎其微。”,“其”，不能读作“qī”。,,见“微不足道”。,,ABCA式,针尖儿上落灰,
屡见不鲜,lǚ jiàn bù xiān,屡：多次；鲜：新奇。多次见到就不觉得新奇了。也作“数见不鲜。”,搜身的纠葛，在香港屡见不鲜。（鲁迅《而已集 略谈香港》）,复句式；作谓语、定语；指多次见到，并不新奇。,老观众；多看无滋味；满眼都是咸腌货,中性,common sight,联合式,四字,当代,常用,屡见不鲜,鲁迅《而已集 略谈香港》：“第二条是‘搜身’的纠葛，在香港屡见不鲜。”,“鲜”，不能读作“xiǎn”。,“鲜”，不能写作“显”。,屡见不鲜和“司空见惯”都有见多了；不以为奇的意思。但屡见不鲜含有的“不足为奇”客观性强；语义重；“司空见惯”还可以表示“某人认为某物或现象常常见到；主观性强。”,屡見不鮮,,,
字里行间,zì lǐ háng jiān,字词里边；文句中间。指文章字句间所透露出来的思想感情。,老弟上的条陈，第一要不拘成格，字里行间，略带些古文气息，方能中肯。（清 无名氏《官场维新记》第二回）,联合式；作主语、宾语；指字句之间。,蒋干盗书,中性,the overtone of a writing,联合式,四字,古代,常用,字里行间,南朝 梁 简文帝《答新渝侯和诗书》：“垂示三首，风云吐于行间，珠玉生于字里。”,“行”，不能读作“xíng”。,“间”，不能写作“闲”。,,字裏行閒,,,
哑口无言,yǎ kǒu wú yán,像哑巴一样；说不出话来。形容理屈词穷的样子。,他的一席话，使在场的人个个哑口无言。,主谓式；作谓语、定语、补语；含贬义。,亚；封嘴；第二讲,贬义,put to silence,补充式,四字,古代,常用,哑口无言,明 冯梦龙《醒世恒言》第八卷：“一番言语，说得张六嫂哑口无言。”,“哑”，不能读作“yā”。,“哑”，不能写作“亚”。,（一）哑口无言和“张口结舌”；都用来形容“说不出话来”；或用于形容理屈词穷。但哑口无言有时也形容由于某种原因默不作声；无话可说：“张口结舌”多指想说而说不出来；形容惊慌、害怕或紧张的样子。（二）见“理屈词穷”。,啞口無言,,,
一举两得,yī jǔ liǎng dé,举：做事。做一件事同时得到两种好处。,一则免楚之患，二则激晋之来，岂非一举两得？（明 冯梦龙《东周列国志》第六十一回）,联合式；作谓语、定语；含褒义。,业,褒义,achieve two things at one stroke,联合式,四字,古代,常用,一举两得,《晋书 束皙传》：“赐其十年之复，以慰重迁之情。一举两得，外实内宽。”,“得”，不能读作“děi”、“de”。,“两”，不能写作“二”。,见“一箭双雕”、“两全其美”。,一舉兩得,,打伞晒毛巾；作揖抓脚背；卖糖的看戏；逮兔子打狐狸,一举两得
美不胜收,měi bù shèng shōu,胜：尽；收：接收；领略。形容美好的事物、景色非常多；人们一时间领略、欣赏不过来。,展览馆里展出的各种工艺品琳琅满目，美不胜收。,主谓式；作谓语、定语、补语；含褒义。,板门店谈判,褒义,too many excellent things to be fully appreciated all at once,主谓式,四字,近代,常用,美不胜收,清 袁枚《随园诗话》第三卷：“见其鸿富，美不胜收。”,“胜”，不能读作“shēng””。,,美不胜收和“琳琅满目”；都形容美好的事物很多；但美不胜收偏重“来不及看”；“琳琅满目”侧重在“满眼都是”。,美不勝収,,望远镜照花园,
家常便饭,jiā cháng biàn fàn,家中日常饭食。也比喻常见的、平常的事。,快请夏老爷出来！虽然家常便饭，也没有背客自吃之理啊！（清 吴趼人《二十年目睹之怪现状》第五十六回）,偏正式；作宾语、定语、分句；指家中日常的饭食。,家里的饭,中性,usual practice,偏正式,四字,古代,常用,家常便饭,宋 罗大经《鹤林玉露》：“常词官好做，家常饭好吃。”,“便”，不能读作“pián”。,“常”，不能写作“长”。,（一）家常便饭和“粗茶淡饭”；都可表示没有多少下饭的菜。但家常便饭指平常的吃喝；还可比喻司空见惯；习以为常的事；“粗茶淡饭”偏重在饭菜简便；不讲究；还可以形容生活俭朴、清苦。（二）家常便饭和“习以为常”；都有“很平常、不足为奇”的意思。但家常便饭用法相当于名词；“习以为常”用法相当于形容词。,家常便飯,,和尚吃豆腐,
寥寥无几,liáo liáo wú jǐ,寥：稀少；很少；无几：没有几个。形容非常稀少；没有几个。,经过初试这一天，剩下的人已经寥寥无几了。,偏正式；作谓语、定语、补语；含贬义。,,贬义,only a few,偏正式,四字,古代,常用,寥寥无几,明 胡应麟《诗薮 内篇》：“建安以后，五言日盛，晋宋齐间，七言歌行寥寥无几。”,“寥”，不能读作“liǎo”。,“寥”，不能写作“聊”、“廖”；“几”，不能写作“己”。,寥寥无几和“屈指可数”都可形容人或物少。但“屈指可数”一般限于屈指之数；比寥寥无几形象；寥寥无几泛指少；不用来形容具体的少；而“屈指可数”可以。,寥寥無几,AABC式,,
摇身一变,yáo shēn yī biàn,摇晃一下身子；就改变了身份。形容变化得快。旧小说中指有神通的人用法术使自己变成别的形体。,就这样铁路总公司的第七次的股东大会摇身一变变成了川汉铁路的“保路同志会”。（郭沫若《反正前后》）,连动式；作谓语；含贬义。,,贬义,give oneself a shake and change into another form,连动式,四字,古代,常用,摇身一变,明 吴承恩《西游记》第二回：“悟空捻着诀，念动咒语，摇身一变，就变做一科（棵）松树。”,“一”，不能读作“yì”。,“摇”，不能写作“谣”、“遥”。,,摇身一變,,,
以身作则,yǐ shēn zuò zé,身：自身；则：准则；榜样。用自己的行动做出榜样。,这其间不顾一切阻碍以身作则做一个开路先锋的便是许倩如。（巴金《家》二十五）,偏正式；作谓语、宾语；含褒义。,模特儿；量体裁衣,褒义,set an example with one's own conduct,偏正式,四字,古代,常用,以身作则,先秦 孔子《论语 子路》：“其身正，不令而行；其身不正，虽令不从。”,“则”，不能读作“zhé”。,“作”，不能写作“做”；“则”，不能写作“啧”。,以身作则和“身先士卒”；都有“亲自做出榜样”的意思；但“身先士卒”偏重于“在关键时刻自己带头做；走在群众的前面”；“以身作则”仅指自己做出榜样。,以身作則,,裁缝剪衣,以身作则
三位一体,sān wèi yī tǐ,比喻三个人、三件事或三个方面联成一个整体。,原始艺术是诗歌、音乐、舞蹈三位一体的艺术。,联合式；作宾语、定语；含褒义。,,褒义,triplicity（the Three in One）,联合式,四字,当代,常用,三位一体,毛泽东《为争取千百万群众进入抗日民族统一战线而斗争》：“为什么提出‘巩固和平’、‘争取民主’、‘实现抗战’这样三位一体的口号？”,,“位”，不能写作“味”。,,三位一軆,,,
融会贯通,róng huì guàn tōng,融会：融合领会；贯通：透彻理解。指把各方面的知识和道理融合贯穿在一起；从而取得对事理全面透彻的理解。,要没有活泼的想象力，就只能做出点滴的饾饤的工作，决不能融会贯通的。（朱自清《中国学术的大损失》）,联合式；作谓语、定语、宾语；含褒义。,水管结冰用火攻,褒义,achieve mastery through a comprehensive study of the subject,联合式,四字,古代,常用,融会贯通,宋 朱熹《朱子全书 学三》：“举一而三反，闻一而知十，乃学者用功之深，穷理之熟，然后能融会贯通，以至于此。”,“会”，不能读作“kuài”。,“融”，不能写作“荣”；“会”，不能写作“汇”。,融会贯通和“举一反三”都可形容在学习上能够领会；理解。但融会贯通的语义范围比“举一反三”大；指将各方面知识都能汇聚起来；得到透彻理解。而“举一反三”只是反映由一类事物推得其他事物。,融會貫通,,,
心安理得,xīn ān lǐ dé,自以为做的事情合乎道理；心很坦然。安：安静；安然；理：情理；得：适合。,到后来忘却了真，相信了谎，也就心安理得，天趣盎然了起来。（鲁迅《病后杂谈》）,联合式；作谓语、宾语、定语；含褒义。,半夜不怕鬼叫门,褒义,with one's mind at ease,联合式,四字,近代,常用,心安理得,清 吴趼人《瞎骗奇闻》：“你别瞧我摆了店面，天天卖钱，那是自己本事换来的，我用着心安理得。”,“得”，不能读作“děi”、“de”。,“理”，不能写作“礼”。,心安理得和“问心无愧”；都含有“自己认为做的事都合乎情理；心理很坦然”的意思。但心安理得偏重在按情理办事；心里坦然；多用于当事者心情的流露；“问心无愧”偏重在凭良心办事；扪心自问不心亏；多用于当事者的心理活动。,,,,
无理取闹,wú lǐ qǔ nào,闹：吵闹；捣乱。没有道理；故意吵闹、捣乱。,对那些无理取闹的人，我们决不应该迁就。,连动式；作谓语、宾语、状语；含贬义。,无赖打路人,贬义,unreasonable quarreling,偏正式,四字,古代,常用,无理取闹,唐 韩愈《答柳柳州食虾蟆》诗：“鸣声相呼和，无理只取闹。”,,“理”，不能写作“礼”。,,無理取鬧,,无赖打路人,
大起大落,dà qǐ dà luò,大幅度地起落。形容变化大。,他的一生多次都是大起大落的。,作主语、宾语、定语；指变化很大。,巨浪,中性,change radically（violent ups and downs）,联合式,四字,当代,常用,大起大落,老舍《四世同堂》：“她的喜怒哀乐都是大起大落，整出整落的。”,,,,,ABAC式,,
适得其反,shì dé qí fǎn,恰恰得到相反的结果。形容结果正好与希望相反。,学习知识，应踏踏实实，循序渐进，想一口吃个胖子，结果将会适得其反。,动宾式；作谓语、定语；含贬义。,刻印章,贬义,get just the opposite,动宾式,四字,近代,常用,适得其反,清 魏源《筹海篇 议守上》：“今议防堵者，莫不曰：‘御诸内河不若御诸海口，御诸海口不若御诸外洋。’不知此适得其反也。”,“其”，不能读作“qī”。,“其”，不能写作“齐”。,适得其反与“事与愿违”有别：适得其反侧重于形容客观结果；“事与愿违”侧重于形容主观感受。,適得其反,,,适得其反
美中不足,měi zhōng bù zú,美：好；不足：不够；缺欠。总的方面虽然很好；但局部不够完善、理想的地方。,他是个迷人的小伙子，美中不足的是个子矮。,偏正式；作宾语、定语；指大体很好。,白仙鹤长了个秃尾巴,中性,some slight imperfection,偏正式,四字,古代,常用,美中不足,明 凌濛初《初刻拍案惊奇》：“破镜重圆，离而复合，固是好事；但王夫人所遭不幸，失身为妾，又不曾根究奸人，报仇雪恨，尚为美中不足。”,“中”，不能读作“zōng”。,,,,,白鹤黑尾巴；西施脸上出天花,
谈何容易,tán hé róng yì,哪里说得上容易呀！常指说起来容易做起来难。,说的，谈何容易，他肯由你要回，方才不带他们去了。（清 李宝嘉《文明小史》第十回）,主谓式；作谓语；形容问题复杂。,化妆学,中性,by no means easy,紧缩式,四字,古代,常用,谈何容易,汉 东方朔《非有先生论》：“吴王曰：‘可以谈矣，寡人将竦意而览焉。’先生曰：‘於戏！可乎哉！可乎哉！谈何容易？’”,,“谈”，不能写作“淡”。,,談何容易,,一餐吃个大胖子,谈何容易
闷闷不乐,mèn mèn bù lè,闷闷：心情不愉快。形容心情烦闷抑郁。,不知为什么，妈妈这几天闷闷不乐。,偏正式；作谓语、定语、状语；形容人不快乐。,,中性,be in a very melancholy spirit,偏正式,四字,古代,常用,闷闷不乐,明 罗贯中《三国演义》第18回：“意欲弃布他往，却又不忍；又恐被人嗤笑。乃终日闷闷不乐。”,“不”，不能读作“bú”。,“闷”，不能写作“问”。,闷闷不乐和“郁郁寡欢”；都表示“心中烦闷”。但闷闷不乐侧重表示时间方面的烦闷不快；“郁郁寡欢”偏重人的性格方面的烦闷不快。,悶悶不樂,AABC式,,
如出一辙,rú chū yī zhé,辙：车辙；车轮压出的痕迹。象出自同一个车辙。比喻两件事情非常相似。,遥远相隔的民族有着这样如出一辙的民族传说。（秦牧《宣扬友爱的民族传说》）,动宾式；作谓语、宾语、定语；用于言论和行动等。,,中性,be cut from the same cloth as,动宾式,四字,古代,常用,如出一辙,宋 洪迈《容斋三笔 奸鬼为人祸》：“二奸鬼之害人，如出一辙。”,“辙”，不能读作“chè”。,“辙”，不能写作“撤”。,如出一辙和“一模一样”都形容完全一样。但如出一辙是比喻性的；还含有“来源相同”之意；“一模一样”是直陈性的；范围比如出一辙大。,如出一轍,,,如出一辙
可有可无,kě yǒu kě wú,可以有也可以没有。指无关紧要或不很重要。,她活了五十年，第一次感觉到自己还不是一个可有可无的人。（茹志娟《如愿》）,联合式；作定语；形容事物无足轻重。,白脸蛋上打粉,中性,nonessential（be not essentia）,联合式,四字,近代,常用,可有可无,清 曹雪芹《红楼梦》第20回：“因此把一切男子都看成浊物，可有可无。”,“可”，不能读作“kè”。,,,可有可無,ABAC式,,
异想天开,yì xiǎng tiān kāi,异：奇异、奇特；天开：比喻凭空的；根本没有的事情。形容想法非常离奇、荒唐。或指解放思想。,既异想天开，又实事求是，这是科学工作者特有的风格。,动宾式；作主语、谓语、定语；含讽刺意味。,最离奇的想法,中性,have bats in one's belfry（to have wild ideas in one's mind; ask for the moon; indulge in the wildest fantasy）,动宾式,四字,近代,常用,异想天开,清 吴趼人《二十年目睹之怪现状》：“刑部书吏得了他的贿赂，便异想天开的设出一个法来。”,“异”，不能读作“yī”。,“异”，不能写作“一”。,异想天开和“想入非非”都有想法不能实现；不切实际的意思。但“想入非非”重在胡思乱想；毫无可取之处；异想天开重在形容某种奇特的想法；有时可能有积极的意思。,異想天開,,又要公羊，又要喝奶；土楼里造飞机；瞎子不知阴天,
形式主义,xíng shì zhǔ yì,给予形而上学的诸形式以首要地位的一种哲学。,我不想那样搞形式主义,作主语、宾语、定语；指做样子。,,贬义,formism,偏正式,四字,当代,常用,形式主义,毛泽东《反对本本主义》：“这种单纯建立在‘上级’观念上的形式主义的态度是很不对的。”,,,,形式主義,,,
